transactions
amount,balance,date,description,record_identifier
5000.0,5000.0,16-02-2023 16:23:06,CASH-BNA-5120 5120BY01-16/02/23 16:23:06,3270.0
295.0,4705.0,17-02-2023 10:41:05,CHQ BK ISSUE CA/OD/OCC,
590.0,4115.0,17-02-2023 18:04:43,CHQ BK ISSUE CA/OD/OCC,
580000.0,584115.0,18-02-2023 13:58:47,RTGS Cr-ICICR42023021800512551- ICIC0000011-APEIRON PROJECTS PRIVATE LIMITED--/URGENT/opentxn86897150 by PRANAVGU-bneshwa,
300000.0,284115.0,18-02-2023 14:50:46,Funds Transfer Debit - BHUPENDRA,945755.0
100000.0,184115.0,18-02-2023 14:58:07,self - DELHI KHANPU,945751.0
